data_source,family_id,individual_id,latitude1,longitude1,city1,country1,latitude2,longitude2,city2,country2
Kopelman2020_240_otherJ,0,pop_11903_202,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1118,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1170,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1415,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1421,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1423,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1507,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1511,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1531,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1544,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1547,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1646,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_1763,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_4637,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_4678,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_5188,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_5200,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_5688,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11903_6074,36.8028,10.1797,Tunis,Tunisia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_145,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5025,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5031,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5034,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5060,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5061,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5062,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5093,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5094,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5109,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5192,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5199,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5213,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11904_5751,39.9272,32.8644,Ankara,Turkey,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11905_51,36.7631,3.0506,Algiers,Algeria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11905_67,36.7631,3.0506,Algiers,Algeria,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11906_5842,53.9,27.5666,Minsk,Belarus,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5138,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5147,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5148,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5158,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5159,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5190,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5219,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5220,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5253,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5278,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5279,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5283,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5284,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5285,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5286,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5298,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5299,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5302,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11907_5304,42.6833,23.3167,Sofia,Bulgaria,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_1126,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_1229,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_1390,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_1642,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_4151,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_4643,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_5667,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_5865,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_6259,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11908_6530,50.0833,14.4665,Prague,Czechia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1137,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1599,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1610,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1613,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1683,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1749,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1804,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1818,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1822,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_1831,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_2234,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_4524,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_4566,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_4568,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_4574,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_4624,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_4626,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_4656,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11910_4694,9.0333,38.7,Addis Ababa,Ethiopia,NA,NA,NA,NA
