Dataset,family_id,individual_id,lat1_obs,long1_obs,city1_obs,country1_obs,lat2_obs,long2_obs,city2_obs,country2_obs,#,Northeast Asian,Mediterranean,Southern African,Southwest Asian,Native American,Oceanian,Southeast Asia,Northern European,Subsaharan African,ClosestPop_prd,Lat_pred,Long_pred
Kopelman2020_239otherJ,0,pop_11904_5109,39.9272,32.8644,Ankara,Turkey,,,,,110,"0,019415","0,541465",1E-05,"0,246102","0,011511","0,008396","0,015407","0,127974","0,02972",Turk_2,"37,8542","39,9411"
Kopelman2020_239otherJ,0,pop_11904_5192,39.9272,32.8644,Ankara,Turkey,,,,,111,"0,001576","0,575496","0,000232","0,248837","0,007225","0,005915","0,020039","0,108923","0,031757",Palestinian_2,"35,3778","38,4432"
Kopelman2020_239otherJ,0,pop_11904_5199,39.9272,32.8644,Ankara,Turkey,,,,,112,"0,015239","0,573033","0,01275","0,240394","0,006834",1E-05,"0,021246","0,108385","0,022109",Palestinian_2,"35,6192","38,6073"
Kopelman2020_239otherJ,0,pop_11904_5213,39.9272,32.8644,Ankara,Turkey,,,,,113,"0,026614","0,580168","0,002775","0,266705","0,004013",1E-05,"0,005296","0,090148","0,02427",Armenians_2,"37,945","41,7951"
Kopelman2020_239otherJ,0,pop_11904_5751,39.9272,32.8644,Ankara,Turkey,,,,,114,1E-05,"0,591258","0,007814","0,240595","0,006678","0,003141","0,023411","0,108185","0,018908",Palestinian_2,"35,7042","38,8334"
Kopelman_2020_148_AJ,0,pop_11906_5842,53.9,27.5666,Minsk,Belarus,,,,,117,"0,018923","0,498325","0,00904","0,249295","0,021339","0,009395","0,025815","0,150649","0,017219",Turk_2,"41,1343","38,738"
Kopelman2020_239otherJ,0,pop_11907_5138,42.6833,23.3167,Sofia,Bulgaria,,,,,118,"0,010087","0,535911","0,014978","0,253905","0,019108","0,011139","0,002317","0,128186","0,024369",Turk_2,"38,3536","40,5865"
Kopelman2020_239otherJ,0,pop_11907_5147,42.6833,23.3167,Sofia,Bulgaria,,,,,119,"0,022763","0,543949","0,007182","0,219554",1E-05,"0,012087","0,008543","0,164609","0,021303",Turk_2,"38,8808","36,3829"
Kopelman2020_239otherJ,0,pop_11907_5148,42.6833,23.3167,Sofia,Bulgaria,,,,,120,"0,000686","0,543024","0,007277","0,233779","0,015591","0,008746","0,014084","0,146762","0,030052",Turk_2,"37,8997","37,9569"
Kopelman2020_239otherJ,0,pop_11907_5158,42.6833,23.3167,Sofia,Bulgaria,,,,,121,"0,003747","0,544346","0,014293","0,238375","0,007882","0,003387","0,028461","0,144428","0,015082",Turk_2,"38,4152","38,6429"
Kopelman2020_239otherJ,0,pop_11907_5190,42.6833,23.3167,Sofia,Bulgaria,,,,,123,"0,00583","0,565343","0,004086","0,231901","0,009432",1E-05,"0,031686","0,116233","0,035479",Palestinian_2,"35,2205","37,396"
Kopelman2020_239otherJ,0,pop_11907_5219,42.6833,23.3167,Sofia,Bulgaria,,,,,124,"0,003925","0,537924","0,004478","0,233349","0,003113","0,014812","0,030034","0,152985","0,019379",Turk_2,"38,636","37,6173"
Kopelman2020_239otherJ,0,pop_11907_5220,42.6833,23.3167,Sofia,Bulgaria,,,,,125,"0,019319","0,577367",1E-05,"0,241077","0,012702",1E-05,"0,017285","0,107403","0,024827",Palestinian_2,"35,5719","38,5728"
Kopelman2020_239otherJ,0,pop_11907_5253,42.6833,23.3167,Sofia,Bulgaria,,,,,126,"0,015833","0,568054","0,003019","0,239458","0,000428","0,006886","0,013195","0,137127","0,016001",Armenians_2,"37,1785","39,9359"
